LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
1.8129133566428555,3.926856708949692,0.8450980400142568,0.6989700043360189,3.3016809492935764,3.3016809492935764,2.292256071356476,2.8488047010518036,-inf,2.1760912590556813,2.932473764677153,2.932473764677153,2.931457870689005,-inf,3.2329961103921536,0.0,-inf,0.3010299956639812,0.0,0.47712125471966244,0.0,0.9030899869919435,-inf,3.3016809492935764,0.3010299956639812,2.738780558484369,-inf,1.7853298350107671,-inf,-inf,-inf,-inf,-inf,0.3010299956639812,3.3027637084729817,5.319106059309776
1.9030899869919435,3.9822712330395684,0.7781512503836436,0.9030899869919435,3.295786940251609,3.295786940251609,-inf,2.9903388547876015,-inf,2.4533183400470375,3.1010593549081156,3.1010593549081156,-inf,-inf,3.1010593549081156,-inf,0.0,0.3010299956639812,-inf,0.47712125471966244,0.0,0.7781512503836436,0.0,3.295786940251609,0.3010299956639812,2.6627578316815743,2.4742162640762553,-inf,-inf,-inf,-inf,-inf,-inf,0.6989700043360189,3.3025473724874854,5.258876629372131
1.8325089127062364,4.051152522447381,0.8450980400142568,0.6989700043360189,3.3012470886362113,3.3014640731432996,2.2095150145426308,2.6866362692622934,-inf,2.637489729512511,2.963787827345555,2.963787827345555,2.937517892017347,-inf,3.2518814545525276,0.0,-inf,0.3010299956639812,0.0,0.47712125471966244,0.0,0.7781512503836436,0.0,3.3012470886362113,0.3010299956639812,2.783903579272735,-inf,1.6232492903979006,-inf,-inf,-inf,-inf,-inf,0.9542425094393249,3.3027637084729817,5.349277527467955
1.7781512503836436,3.9800033715837464,0.8450980400142568,0.6989700043360189,3.2821687783046416,3.294466226161593,-inf,2.3344537511509307,-inf,2.7323937598229686,2.8785217955012063,2.9827233876685453,2.8785217955012063,-inf,3.2347702951609163,0.0,-inf,0.0,-inf,0.47712125471966244,0.0,0.8450980400142568,0.0,3.3005954838899636,0.47712125471966244,2.807535028068853,-inf,1.5440680443502757,2.4345689040341987,-inf,-inf,-inf,-inf,0.3010299956639812,3.302330928684399,5.146128035678238
1.9242792860618816,4.1541195255158465,0.9030899869919435,0.6989700043360189,3.3010299956639813,3.3010299956639813,2.5440680443502757,2.816241299991783,-inf,2.690196080028514,3.0588054866759067,3.0588054866759067,3.0224283711854865,-inf,3.3420276880874717,0.0,-inf,0.3010299956639812,0.0,0.6020599913279624,0.0,0.9542425094393249,0.0,3.3010299956639813,0.47712125471966244,2.9222062774390163,2.2833012287035497,1.9242792860618816,-inf,-inf,-inf,-inf,-inf,1.0791812460476249,3.3027637084729817,5.3979400086720375
1.9294189257142929,4.149680882482938,0.6989700043360189,0.6989700043360189,3.2995072987004876,3.299942900022767,-inf,2.864511081058392,-inf,1.806179973983887,2.900913067737669,2.900913067737669,2.7528164311882715,-inf,3.1341771075767664,0.0,-inf,0.0,0.0,0.0,0.0,0.6989700043360189,-inf,3.2995072987004876,0.3010299956639812,2.681241237375587,1.6020599913279625,1.4771212547196624,-inf,2.505149978319906,-inf,-inf,2.845098040014257,1.0,3.3029799367482493,5.155336037465061
1.8750612633917,4.0036328370044085,0.9030899869919435,0.6989700043360189,3.301897717195208,3.302114376956201,2.2695129442179165,3.13640344813399,-inf,2.5010592622177517,3.2268575702887237,3.228913405994688,-inf,-inf,3.228913405994688,0.0,-inf,0.3010299956639812,-inf,0.47712125471966244,0.0,0.8450980400142568,0.0,3.301897717195208,0.3010299956639812,2.803457115648414,2.406540180433955,1.7558748556724915,-inf,-inf,-inf,-inf,-inf,0.9030899869919435,3.3025473724874854,5.487138375477186
-inf,4.01628102454283,0.8450980400142568,0.7781512503836436,3.295127085252191,3.295127085252191,2.380211241711606,2.9339931638312424,1.505149978319906,2.3344537511509307,3.044147620878723,3.044147620878723,2.9925535178321354,-inf,3.3201462861110542,0.0,-inf,0.3010299956639812,0.0,0.47712125471966244,0.0,0.8450980400142568,0.3010299956639812,3.295127085252191,0.3010299956639812,2.6848453616444123,2.3710678622717363,2.3096301674258988,2.357934847000454,-inf,-inf,-inf,2.5440680443502757,1.041392685158225,3.3029799367482493,5.301029995663981
1.7075701760979363,3.7867514221455614,0.8450980400142568,0.6989700043360189,3.285782273779395,3.290034611362518,-inf,-inf,-inf,2.9786369483844743,2.9786369483844743,3.009450895798694,2.876217840591642,-inf,3.2489536154957075,-inf,-inf,0.3010299956639812,-inf,0.3010299956639812,0.3010299956639812,0.9030899869919435,0.3010299956639812,3.285782273779395,0.3010299956639812,2.670245853074124,1.9542425094393248,-inf,2.311753861055754,-inf,-inf,-inf,-inf,0.6020599913279624,3.3027637084729817,5.113609151073028
1.6989700043360187,3.870403905279027,0.6989700043360189,0.7781512503836436,3.287577809078705,3.290034611362518,-inf,2.929929560084588,-inf,2.146128035678238,2.9960736544852753,3.0322157032979815,-inf,-inf,3.0322157032979815,0.0,-inf,0.0,-inf,0.3010299956639812,0.3010299956639812,0.6989700043360189,0.3010299956639812,3.287577809078705,0.0,2.311753861055754,-inf,0.6020599913279624,-inf,-inf,-inf,-inf,-inf,0.0,3.3027637084729817,5.071882007306125
