LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold
1.9030899869919435,4.065280871102755,0.6989700043360189,0.7781512503836436,3.292477593667784,3.292477593667784,-inf,2.670245853074124,2.1583624920952498,2.4313637641589874,2.94546858513182,2.9523080096621253,-inf,-inf,2.9523080096621253,-inf,-inf,0.0,-inf,0.3010299956639812,0.0,0.6989700043360189,-inf,3.292477593667784,0.0,2.863322860120456,2.146128035678238,-inf,-inf,-inf,2.0791812460476247,-inf,-inf,0.7781512503836436,3.3031960574204886
1.9084850188786497,4.1543326612423055,0.7781512503836436,0.7781512503836436,3.291812687467119,3.291812687467119,2.03342375548695,2.965201701025912,-inf,2.6085260335771943,3.123524980942732,3.123524980942732,-inf,-inf,3.123524980942732,-inf,-inf,0.0,0.0,0.47712125471966244,0.0,0.7781512503836436,-inf,3.291812687467119,0.0,2.494154594018443,2.5943925503754266,1.5563025007672873,-inf,-inf,-inf,-inf,4.096910013008056,0.7781512503836436,3.3031960574204886
1.8692317197309762,4.140822180109311,0.6989700043360189,0.6989700043360189,3.3003780648707024,3.3005954838899636,-inf,2.8981764834976764,-inf,2.1367205671564067,2.967547976218862,2.967547976218862,2.8457180179666586,-inf,3.2119210843085093,-inf,-inf,0.3010299956639812,0.0,0.47712125471966244,0.0,0.7781512503836436,0.0,3.3003780648707024,0.3010299956639812,2.6830470382388496,2.3263358609287517,1.5314789170422551,-inf,-inf,-inf,-inf,-inf,0.47712125471966244,3.3031960574204886
1.8920946026904804,3.9990434996031627,0.7781512503836436,0.7781512503836436,3.3005954838899636,3.3005954838899636,1.3010299956639813,2.7795964912578244,-inf,2.510545010206612,2.9666109866819346,2.9666109866819346,2.8312296938670634,-inf,3.2052043639481447,-inf,-inf,0.3010299956639812,0.0,0.47712125471966244,0.0,0.8450980400142568,0.0,3.3005954838899636,0.3010299956639812,2.6720978579357175,2.5563025007672873,1.5563025007672873,-inf,-inf,-inf,-inf,-inf,0.7781512503836436,3.3031960574204886
1.6334684555795866,3.6994040818153375,0.9030899869919435,0.6989700043360189,3.29928933408768,3.29928933408768,-inf,2.419955748489758,-inf,3.0073209529227447,3.1072099696478683,3.1072099696478683,-inf,-inf,3.1072099696478683,-inf,-inf,0.3010299956639812,-inf,0.3010299956639812,0.0,0.6989700043360189,-inf,3.29928933408768,0.3010299956639812,2.7041505168397992,-inf,1.9138138523837167,-inf,-inf,2.1583624920952498,-inf,-inf,0.0,3.3031960574204886
1.8750612633917,4.0,0.7781512503836436,0.6989700043360189,3.2995072987004876,3.2997251539756367,-inf,-inf,-inf,2.8825245379548803,2.8825245379548803,2.8825245379548803,2.950364854376123,-inf,3.2187979981117376,-inf,-inf,0.3010299956639812,0.0,0.47712125471966244,0.0,0.8450980400142568,0.0,3.2995072987004876,0.3010299956639812,2.6434526764861874,2.1958996524092336,1.9242792860618816,-inf,-inf,-inf,-inf,-inf,0.6020599913279624,3.3031960574204886
-inf,3.902002891350729,0.7781512503836436,0.8450980400142568,3.29928933408768,3.3025473724874854,-inf,2.9708116108725178,-inf,2.367355921026019,3.0674428427763805,3.074450718954591,-inf,-inf,3.074450718954591,0.0,-inf,0.3010299956639812,-inf,0.47712125471966244,0.0,0.7781512503836436,-inf,3.29928933408768,0.3010299956639812,2.6232492903979003,2.683947130751512,1.3222192947339193,-inf,-inf,-inf,-inf,2.6989700043360187,0.47712125471966244,3.3031960574204886
1.7993405494535817,3.924382677201973,0.7781512503836436,0.6989700043360189,3.3005954838899636,3.3005954838899636,-inf,-inf,-inf,2.89707700320942,2.89707700320942,2.89707700320942,2.829946695941636,-inf,3.1658376246901283,-inf,-inf,0.3010299956639812,0.0,0.47712125471966244,0.0,0.8450980400142568,0.0,3.3005954838899636,0.3010299956639812,2.5943925503754266,-inf,1.8750612633917,-inf,-inf,-inf,-inf,-inf,0.6989700043360189,3.3031960574204886
1.9294189257142929,4.007577098304338,0.8450980400142568,0.6989700043360189,3.2988530764097064,3.2988530764097064,-inf,2.8041394323353503,-inf,2.821513528404773,3.113943352306837,3.127428777851599,-inf,-inf,3.127428777851599,0.0,-inf,0.0,0.0,0.3010299956639812,0.0,0.6989700043360189,0.0,3.2988530764097064,0.3010299956639812,2.7041505168397992,2.2833012287035497,-inf,-inf,-inf,-inf,-inf,-inf,0.3010299956639812,3.3031960574204886
1.845098040014257,3.9242792860618816,0.6020599913279624,0.6989700043360189,3.294466226161593,3.294466226161593,-inf,2.905256048748451,1.8920946026904804,-inf,2.94546858513182,2.94546858513182,-inf,-inf,2.94546858513182,0.0,-inf,0.0,-inf,0.3010299956639812,0.0,0.6020599913279624,-inf,3.294466226161593,0.3010299956639812,2.720159303405957,2.380211241711606,-inf,-inf,-inf,-inf,-inf,-inf,0.6020599913279624,3.3031960574204886
1.414973347970818,3.76774936734558,0.8450980400142568,0.6989700043360189,3.3008127941181167,3.3008127941181167,-inf,3.021602716028242,-inf,2.5490032620257876,3.1476763242410986,3.1261314072619846,-inf,-inf,3.1261314072619846,0.0,-inf,0.3010299956639812,-inf,0.3010299956639812,0.0,0.6989700043360189,0.0,3.3008127941181167,0.3010299956639812,2.708420900134713,2.307496037913213,1.8325089127062364,-inf,-inf,-inf,-inf,-inf,0.7781512503836436,3.3031960574204886
1.3222192947339193,3.225309281725863,0.7781512503836436,0.6989700043360189,3.2946866242794433,3.2946866242794433,2.7024305364455254,2.1931245983544616,-inf,2.514547752660286,2.683947130751512,2.683947130751512,2.7024305364455254,-inf,2.9943171526696366,-inf,-inf,0.0,0.0,0.3010299956639812,0.0,0.6989700043360189,-inf,3.2946866242794433,0.0,2.4216039268698313,2.439332693830263,-inf,-inf,-inf,-inf,-inf,-inf,0.3010299956639812,3.3031960574204886
